Employee#,Last Name,First Name,Date,Log In,Log Out
10012,Lopez,Josie,12/06/2024,10:45:00 am,7:08:00 pm
10013,Farala,Martha,12/06/2024,9:34:00 am,7:14:00 pm
10014,Martinez,Leila,12/06/2024,9:06:00 am,6:52:00 pm
10015,Romualdez,Fredrick,12/06/2024,8:53:00 am,5:12:00 pm
10016,Mata,Christian,12/06/2024,10:38:00 am,8:53:00 pm
10017,De Leon,Selena,12/06/2024,9:05:00 am,4:27:00 pm
10018,San Jose,Allison,12/06/2024,8:25:00 am,3:59:00 pm
10019,Rosario,Cydney,12/06/2024,10:09:00 am,6:38:00 pm
10020,Bautista,Mark,12/06/2024,8:50:00 am,4:42:00 pm
10021,Lazaro,Darlene,12/06/2024,10:09:00 am,7:52:00 pm
10022,Delos Santos,Kolby,12/06/2024,10:35:00 am,9:04:00 pm
10023,Santos,Vella,12/06/2024,10:53:00 am,8:58:00 pm
10024,Del Rosario,Tomas,12/06/2024,10:05:00 am,6:59:00 pm
10025,Tolentino,Jacklyn,12/06/2024,8:23:00 am,5:26:00 pm
10026,Gutierrez,Percival,12/06/2024,8:03:00 am,5:02:00 pm
10027,Manalaysay,Garfield,12/06/2024,9:15:00 am,4:57:00 pm
10028,Villegas,Lizeth,12/06/2024,10:33:00 am,6:46:00 pm
10029,Ramos,Carol,12/06/2024,8:37:00 am,4:08:00 pm
10030,Maceda,Emelia,12/06/2024,8:20:00 am,4:05:00 pm
10031,Aguilar,Delia,12/06/2024,9:36:00 am,8:16:00 pm
10032,Castro,John Rafael,12/06/2024,9:16:00 am,7:11:00 pm
10033,Martinez,Carlos Ian,12/06/2024,8:11:00 am,5:57:00 pm
10034,Santos,Beatriz,12/06/2024,8:56:00 am,6:37:00 pm
10001,Garcia,Manuel III,13/06/2024,8:24:00 am,7:20:00 pm
10002,Lim,Antonio,13/06/2024,8:35:00 am,6:33:00 pm
10003,Aquino,Bianca Sofia,13/06/2024,8:53:00 am,7:06:00 pm
10004,Reyes,Isabella,13/06/2024,9:49:00 am,5:38:00 pm
10005,Hernandez,Eduard,13/06/2024,9:56:00 am,6:07:00 pm
10006,Villanueva,Andrea Mae,13/06/2024,10:47:00 am,7:54:00 pm
10007,San Jose,Brad,13/06/2024,10:00:00 am,6:49:00 pm
10008,Romualdez,Alice,13/06/2024,9:14:00 am,7:44:00 pm
10009,Atienza,Rosie,13/06/2024,10:09:00 am,5:16:00 pm
10010,Alvaro,Roderick,13/06/2024,10:59:00 am,9:30:00 pm
10011,Salcedo,Anthony,13/06/2024,8:08:00 am,5:12:00 pm
10012,Lopez,Josie,13/06/2024,9:10:00 am,5:36:00 pm
10013,Farala,Martha,13/06/2024,9:13:00 am,6:23:00 pm
10014,Martinez,Leila,13/06/2024,10:56:00 am,9:55:00 pm
10015,Romualdez,Fredrick,13/06/2024,9:49:00 am,5:47:00 pm
10016,Mata,Christian,13/06/2024,8:48:00 am,4:16:00 pm
10017,De Leon,Selena,13/06/2024,9:10:00 am,7:57:00 pm
10018,San Jose,Allison,13/06/2024,8:02:00 am,5:45:00 pm
10019,Rosario,Cydney,13/06/2024,9:44:00 am,8:13:00 pm
10020,Bautista,Mark,13/06/2024,10:17:00 am,6:23:00 pm
10021,Lazaro,Darlene,13/06/2024,8:47:00 am,5:17:00 pm
10022,Delos Santos,Kolby,13/06/2024,9:11:00 am,5:26:00 pm
10023,Santos,Vella,13/06/2024,9:30:00 am,7:55:00 pm
10024,Del Rosario,Tomas,13/06/2024,10:53:00 am,6:33:00 pm
10025,Tolentino,Jacklyn,13/06/2024,9:11:00 am,5:41:00 pm
10026,Gutierrez,Percival,13/06/2024,9:35:00 am,6:44:00 pm
10027,Manalaysay,Garfield,13/06/2024,8:44:00 am,7:30:00 pm
10028,Villegas,Lizeth,13/06/2024,10:22:00 am,7:14:00 pm
10029,Ramos,Carol,13/06/2024,8:06:00 am,5:03:00 pm
10030,Maceda,Emelia,13/06/2024,9:34:00 am,4:40:00 pm
10031,Aguilar,Delia,13/06/2024,8:20:00 am,5:02:00 pm
10032,Castro,John Rafael,13/06/2024,9:00:00 am,6:18:00 pm
10033,Martinez,Carlos Ian,13/06/2024,10:17:00 am,6:35:00 pm
10034,Santos,Beatriz,13/06/2024,8:35:00 am,3:37:00 pm
10001,Garcia,Manuel III,14/06/2024,9:28:00 am,7:24:00 pm
10002,Lim,Antonio,14/06/2024,8:22:00 am,5:34:00 pm
10003,Aquino,Bianca Sofia,14/06/2024,10:20:00 am,6:16:00 pm
10004,Reyes,Isabella,14/06/2024,9:32:00 am,8:09:00 pm
10005,Hernandez,Eduard,14/06/2024,8:50:00 am,4:13:00 pm
10006,Villanueva,Andrea Mae,14/06/2024,9:36:00 am,4:42:00 pm
10007,San Jose,Brad,14/06/2024,8:12:00 am,4:15:00 pm
10008,Romualdez,Alice,14/06/2024,8:40:00 am,6:51:00 pm
10009,Atienza,Rosie,14/06/2024,8:16:00 am,6:15:00 pm
10010,Alvaro,Roderick,14/06/2024,9:41:00 am,8:11:00 pm
10011,Salcedo,Anthony,14/06/2024,9:49:00 am,5:31:00 pm
10012,Lopez,Josie,14/06/2024,8:39:00 am,4:13:00 pm
10013,Farala,Martha,14/06/2024,8:11:00 am,4:02:00 pm
10014,Martinez,Leila,14/06/2024,10:43:00 am,9:35:00 pm
10015,Romualdez,Fredrick,14/06/2024,8:25:00 am,6:56:00 pm
10016,Mata,Christian,14/06/2024,8:23:00 am,4:51:00 pm
10017,De Leon,Selena,14/06/2024,9:40:00 am,5:06:00 pm
10018,San Jose,Allison,14/06/2024,10:43:00 am,6:48:00 pm
10019,Rosario,Cydney,14/06/2024,9:30:00 am,8:15:00 pm
10020,Bautista,Mark,14/06/2024,8:53:00 am,6:16:00 pm
10021,Lazaro,Darlene,14/06/2024,9:44:00 am,6:25:00 pm
10022,Delos Santos,Kolby,14/06/2024,10:50:00 am,6:13:00 pm
10023,Santos,Vella,14/06/2024,10:53:00 am,6:21:00 pm
10024,Del Rosario,Tomas,14/06/2024,10:32:00 am,8:01:00 pm
10025,Tolentino,Jacklyn,14/06/2024,10:47:00 am,8:27:00 pm
10026,Gutierrez,Percival,14/06/2024,8:34:00 am,4:56:00 pm
10027,Manalaysay,Garfield,14/06/2024,10:59:00 am,7:33:00 pm
10028,Villegas,Lizeth,14/06/2024,8:09:00 am,6:57:00 pm
10029,Ramos,Carol,14/06/2024,8:06:00 am,6:49:00 pm
10030,Maceda,Emelia,14/06/2024,10:29:00 am,8:21:00 pm
10031,Aguilar,Delia,14/06/2024,10:28:00 am,9:27:00 pm
10032,Castro,John Rafael,14/06/2024,10:40:00 am,8:16:00 pm
10033,Martinez,Carlos Ian,14/06/2024,9:32:00 am,7:35:00 pm
10034,Santos,Beatriz,14/06/2024,9:26:00 am,7:24:00 pm
10001,Garcia,Manuel III,17/06/2024,9:07:00 am,7:10:00 pm
10002,Lim,Antonio,17/06/2024,9:44:00 am,6:35:00 pm
10003,Aquino,Bianca Sofia,17/06/2024,10:46:00 am,8:54:00 pm
10004,Reyes,Isabella,17/06/2024,8:50:00 am,5:42:00 pm
10005,Hernandez,Eduard,17/06/2024,9:36:00 am,6:09:00 pm
10006,Villanueva,Andrea Mae,17/06/2024,10:33:00 am,8:06:00 pm
10007,San Jose,Brad,17/06/2024,9:38:00 am,6:50:00 pm
10008,Romualdez,Alice,17/06/2024,10:42:00 am,6:58:00 pm
10009,Atienza,Rosie,17/06/2024,10:20:00 am,7:02:00 pm
10010,Alvaro,Roderick,17/06/2024,9:15:00 am,4:52:00 pm
10011,Salcedo,Anthony,17/06/2024,8:55:00 am,6:30:00 pm
10012,Lopez,Josie,17/06/2024,10:55:00 am,8:19:00 pm
10013,Farala,Martha,17/06/2024,10:01:00 am,8:57:00 pm
10014,Martinez,Leila,17/06/2024,10:21:00 am,8:16:00 pm
10015,Romualdez,Fredrick,17/06/2024,9:16:00 am,8:00:00 pm
10016,Mata,Christian,17/06/2024,10:01:00 am,7:45:00 pm
10017,De Leon,Selena,17/06/2024,9:30:00 am,5:12:00 pm
10018,San Jose,Allison,17/06/2024,10:55:00 am,8:17:00 pm
10019,Rosario,Cydney,17/06/2024,10:40:00 am,7:43:00 pm
10020,Bautista,Mark,17/06/2024,8:05:00 am,6:31:00 pm
10021,Lazaro,Darlene,17/06/2024,10:25:00 am,8:02:00 pm
10022,Delos Santos,Kolby,17/06/2024,9:40:00 am,8:22:00 pm
10023,Santos,Vella,17/06/2024,9:59:00 am,6:10:00 pm
10024,Del Rosario,Tomas,17/06/2024,9:26:00 am,7:41:00 pm
10025,Tolentino,Jacklyn,17/06/2024,9:48:00 am,5:00:00 pm
10026,Gutierrez,Percival,17/06/2024,8:51:00 am,6:33:00 pm
10027,Manalaysay,Garfield,17/06/2024,9:44:00 am,8:40:00 pm
10028,Villegas,Lizeth,17/06/2024,10:42:00 am,8:23:00 pm
10029,Ramos,Carol,17/06/2024,8:39:00 am,6:38:00 pm
10030,Maceda,Emelia,17/06/2024,10:37:00 am,8:45:00 pm
10031,Aguilar,Delia,17/06/2024,8:15:00 am,6:19:00 pm
10032,Castro,John Rafael,17/06/2024,10:52:00 am,6:42:00 pm
